grain,level,horizon_days,quantile,feature,importance
Pmax,campaign_type,90,0.5,is_weekend,-6.6213
Pmax,campaign_type,90,0.5,target_spend_90d,12305.9919
Pmax,campaign_type,90,0.5,dow_Monday,0.9798
Pmax,campaign_type,90,0.5,dow_Saturday,-1.552
Pmax,campaign_type,90,0.5,dow_Sunday,0.4664
Pmax,campaign_type,90,0.5,dow_Thursday,4.4219
Pmax,campaign_type,90,0.5,dow_Tuesday,-2.9176
Pmax,campaign_type,90,0.5,dow_Wednesday,1.2083
Pmax,campaign_type,90,0.9,spend,346.6358
Pmax,campaign_type,90,0.9,spend_lag_1,-124.9668
Pmax,campaign_type,90,0.9,spend_lag_7,283.4312
Pmax,campaign_type,90,0.9,spend_lag_14,24.7049
Pmax,campaign_type,90,0.9,spend_rolling_mean_7d,-289.528
Pmax,campaign_type,90,0.9,spend_rolling_mean_14d,-104.564
Pmax,campaign_type,90,0.9,spend_rolling_mean_30d,-106.9618
Pmax,campaign_type,90,0.9,revenue_rolling_mean_7d,12.2129
Pmax,campaign_type,90,0.9,revenue_rolling_mean_14d,-217.0503
Pmax,campaign_type,90,0.9,revenue_rolling_mean_30d,-20.993
Pmax,campaign_type,90,0.9,spend_share_of_total,316.5518
Pmax,campaign_type,90,0.9,days_since_start,0.0
Pmax,campaign_type,90,0.9,month_sin,0.0
Pmax,campaign_type,90,0.9,month_cos,0.0
Pmax,campaign_type,90,0.9,dayofmonth_sin,207.7951
Pmax,campaign_type,90,0.9,dayofmonth_cos,-16.1901
Pmax,campaign_type,90,0.9,is_weekend,0.0
Pmax,campaign_type,90,0.9,target_spend_90d,11154.6197
Pmax,campaign_type,90,0.9,dow_Monday,-1.5147
Pmax,campaign_type,90,0.9,dow_Saturday,-0.0
Pmax,campaign_type,90,0.9,dow_Sunday,9.9083
Pmax,campaign_type,90,0.9,dow_Thursday,-3.1832
Pmax,campaign_type,90,0.9,dow_Tuesday,0.0
Pmax,campaign_type,90,0.9,dow_Wednesday,-0.0193
Direct,campaign_type,30,0.1,spend,0.0
Direct,campaign_type,30,0.1,spend_lag_1,0.0
Direct,campaign_type,30,0.1,spend_lag_7,0.0
Direct,campaign_type,30,0.1,spend_lag_14,0.0
Direct,campaign_type,30,0.1,spend_rolling_mean_7d,0.0
Direct,campaign_type,30,0.1,spend_rolling_mean_14d,0.0
Direct,campaign_type,30,0.1,spend_rolling_mean_30d,0.0
Direct,campaign_type,30,0.1,revenue_rolling_mean_7d,-157.4663
Direct,campaign_type,30,0.1,revenue_rolling_mean_14d,-7021.4565
Direct,campaign_type,30,0.1,revenue_rolling_mean_30d,-217.18
Direct,campaign_type,30,0.1,spend_share_of_total,0.0
Direct,campaign_type,30,0.1,days_since_start,0.0
Direct,campaign_type,30,0.1,month_sin,0.0
Direct,campaign_type,30,0.1,month_cos,0.0
Direct,campaign_type,30,0.1,dayofmonth_sin,-419.3405
Direct,campaign_type,30,0.1,dayofmonth_cos,-1030.4536
Direct,campaign_type,30,0.1,is_weekend,-7.9692
Direct,campaign_type,30,0.1,target_spend_30d,0.0
Direct,campaign_type,30,0.1,dow_Monday,1.8529
Direct,campaign_type,30,0.1,dow_Saturday,-0.0487
Direct,campaign_type,30,0.1,dow_Sunday,2.9694
Direct,campaign_type,30,0.1,dow_Thursday,5.5864
Direct,campaign_type,30,0.1,dow_Tuesday,4.9475
Direct,campaign_type,30,0.1,dow_Wednesday,-27.1095
Direct,campaign_type,30,0.5,spend,0.0
Direct,campaign_type,30,0.5,spend_lag_1,0.0
